Transformation,Model,Adj R2 (Train),Adj R2 (Test),F Statistic,Durbin Watson,Jarque Bera,Anderson Darling (Train),Anderson Darling (Test),White's (Train),AIC,BIC
ln(x),GLS,0.8397518670344079,0.7682581757070468,0.0,1.965108932293738,5.950111539743653e-05,0.08200332361937786,0.11816800694249364,2.903900231738459e-07,113.6168263352368,350.8036062703825
x^0.09,GLS,0.8362735261024177,0.7582536485611122,5.53e-322,1.972595883571859,4.345763368137197e-09,0.013409912651458914,0.051849911675137306,1.2500567311169297e-07,-2367.731721335736,-2130.5449414005902
x^1/5,GLS,0.8314263482797434,0.745366918128249,2.0035712e-316,1.9808304029900037,8.575099724931877e-18,0.0006526479943378626,0.013552451732437066,2.6763469979289082e-08,1197.358357889765,1434.5451378249109
x^1/4,GLS,0.828766929440302,0.7385843821928046,1.9201581984e-313,1.9846234993254002,3.0224644280609097e-24,0.00010345194838705881,0.006076112522780667,1.0823111860120334e-08,2646.5034324594176,2883.6902123945633
x^1/3,GLS,0.8238131335667622,0.7262778366568287,5.178900752321005e-308,1.9907005169285008,5.630229078932455e-40,3.0247307374185906e-06,0.0012425819860261977,1.9939906677563594e-09,4911.607110059181,5148.7938899943265
x^1/2,GLS,0.811911613806439,0.6977076396511679,1.4268129421328466e-295,2.0016236325784282,1.2966552938506659e-102,2.1146926855050127e-10,1.7837221728304058e-05,4.5597451725707884e-11,9150.954853654293,9388.14163358944
x^1,GLS,0.7591700054695033,0.5772176715558883,1.2133973191948902e-248,2.0214133154537928,0.0,0.0,4.5954557797196043e-14,1.2008564983613205e-15,21090.895306699826,21328.08208663497
x^3/2,GLS,0.6790284425276922,0.4026774811096402,2.0796335461795058e-194,2.0225872759344283,0.0,0.0,1.550540790064725e-25,2.7075879101210625e-18,32761.375527163404,32998.562307098546
x^2,GLS,0.5765140187099869,0.18027832334091298,1.3931173520235834e-142,2.0130601197312483,0.0,0.0,0.0,2.38944069361254e-19,44433.8520774215,44671.038857356645
ln^-2(x),GLS,0.8450139573799548,0.7898828272704249,0.0,1.9434395995658134,0.029537877606338133,0.06319533068797566,0.19639544064559522,5.928731669597035e-08,-11910.706607834305,-11673.51982789916
ln^-3/2(x),GLS,0.8446376697635628,0.7870295595381406,0.0,1.9467374818236083,0.04640200968394443,0.12682939495429296,0.214180586686517,1.175317970302593e-07,-10236.531426202193,-9999.344646267047
ln^-1(x),GLS,0.8440582823920629,0.7838817094970267,0.0,1.9501994742569564,0.04174528488306551,0.1980445262183034,0.22176437863475057,1.9760584428542924e-07,-8779.38874291721,-8542.201962982064
ln^-1/2(x),GLS,0.8432778733282227,0.7804351846442987,0.0,1.9537969071959151,0.02180054749061155,0.2294399500513719,0.2128928187619811,2.7987888587247027e-07,-7857.018671919747,-7619.8318919846015
ln^-1/3(x),GLS,0.8429734334391665,0.7792192191221627,0.0,1.9550210929592116,0.01546892067352782,0.22670480154360592,0.20365290370970507,3.0248890510298253e-07,-7875.016321987916,-7637.82954205277
ln^-1/4(x),GLS,0.8428129513265785,0.7785985561681057,0.0,1.955637267519383,0.01270707672676247,0.22171900646721268,0.19813369347755452,3.122323191788274e-07,-8042.739585495848,-7805.552805560702
ln^-1/5(x),GLS,0.8427140239010745,0.7782220883391869,0.0,1.9560081998140002,0.01119961540372879,0.2186015120276957,0.1950219968815874,3.1750574461627905e-07,-8237.830832661008,-8000.644052725862
ln(ln(x)),GLS,0.8422985757650681,0.7766855867828584,0.0,1.9575004818141917,0.006337150169082242,0.20224447021967548,0.18393899316557888,3.338071276140528e-07,-4339.120062413531,-4101.933282478385
ln^0.09(x),GLS,0.8420911498107391,0.7759418844728734,0.0,1.958210535530715,0.004663895528484624,0.19115979072253805,0.1777752396239972,3.3862447750551295e-07,-8328.664458358344,-8091.477678423198
ln^1/5(x),GLS,0.8418516490208066,0.7750998470118894,0.0,1.9590050399785253,0.00321702916830577,0.17772975617373749,0.17067177497009295,3.416797232825604e-07,-6459.208130764051,-6222.021350828905
ln^1/4(x),GLS,0.8417350148233991,0.7746956821980142,0.0,1.9593828784166336,0.0026672121295271186,0.1711734227171851,0.16728857710813363,3.4226289634998016e-07,-5819.461842704956,-5582.275062769811
